0.1, 0.308, 3.265
0.1, 0.423, 3.949
0.1, 0.418, 3.545
0.1, 0.434, 3.973
0.1, 0.413, 3.488
0.1, 0.342, 3.185
0.2, 0.24, 2.881
0.2, 0.313, 3.053
0.2, 0.284, 3.091
0.2, 0.333, 3.388
0.2, 0.221, 2.908
0.2, 0.222, 3
0.3, 0.25, 2.96
0.3, 0.112, 2.759
0.3, 0.187, 2.928
0.3, 0.22, 2.877
0.3, 0.24, 2.88
0.3, 0.146, 2.847
0.4, 0.151, 2.827
0.4, 0.208, 2.891
0.4, 0.077, 2.745
0.4, 0.121, 2.806
0.4, 0.138, 2.746
0.4, 0.161, 2.75
0.5, 0.118, 2.829
0.5, 0.116, 2.814
0.5, 0.12, 2.763
0.5, 0.101, 2.692
0.5, 0.13, 2.771
0.5, 0.108, 2.79
0.6, 0.141, 2.768
0.6, 0.114, 2.821
0.6, 0.155, 2.718
0.6, 0.164, 2.801
0.6, 0.161, 2.753
0.6, 0.136, 2.792
0.7, 0.109, 2.692
0.7, 0.116, 2.687
0.7, 0.123, 2.694
0.7, 0.07, 2.737
0.7, 0.113, 2.18
0.7, 0.065, 2.724
0.8, 0.14, 2.788
0.8, 0.103, 2.747
0.8, 0.097, 2.737
0.8, 0.032, 2.764
0.8, 0.051, 2.747
0.8, 0.137, 2.749
0.9, 0.136, 2.687
0.9, 0.084, 2.721
0.9, 0.124, 2.749
0.9, 0.085, 2.685
0.9, 0.09, 2.664
0.9, 0.074, 2.727
